################################################################
#
# Polarizable Charge Equilibration (PQEq) Parameter Set
#
# contacts:
# Saber Naserifar, naseri@caltech.edu
# William A. Goddard III, wag@wag.caltech.edu
#
#
################################################################
#E P     Xo      Jo        Z        Rc      Rs          Ks
################################################################ 
Ba 1  2.81400  4.79200 1.000000  2.44200  2.44200      8.36432 
La 1  2.83550  5.48300 1.000000  2.07100  2.07100     10.67729 
Ce 1  2.77400  5.38400 1.000000  1.92500  1.92500     11.21837 
Pr 1  2.85800  5.12800 1.000000  2.00700  2.00700     11.77531 
Nd 1  2.86850  5.24100 1.000000  2.00700  2.00700     10.57528 
Pm 1  2.88100  5.34600 1.000000  2.00000  2.00000     11.03202 
Sm 1  2.91150  5.43900 1.000000  1.97800  1.97800     11.52999 
Eu 1  2.87850  5.57500 1.000000  2.22700  2.22700     11.98786 
Gd 1  3.16650  5.94900 1.000000  1.96800  1.96800     14.13037 
Tb 1  3.01800  5.66800 1.000000  1.95400  1.95400     13.02211 
Dy 1  3.05550  5.74300 1.000000  1.93400  1.93400     13.55362 
Ho 1  3.12700  5.78200 1.000000  1.92500  1.92500     14.07050 
Er 1  3.18650  5.82900 1.000000  1.91500  1.91500     14.62836 
Tm 1  3.25140  5.86580 1.000000  2.00000  2.00000     15.23228 
Yb 1  3.28890  5.93000 1.000000  2.15800  2.15800     15.88822 
Lu 1  2.96290  4.92580 1.000000  1.89600  1.89600     15.16273 
Hf 1  3.70000  6.80000 1.000000  1.75900  1.75900     20.49776 
Ta 1  5.10000  5.70000 1.000000  1.60500  1.60500     25.34837 
 W 1  4.63000  6.62000 1.000000  1.53800  1.53800     29.91565 
Re 1  3.96000  7.84000 1.000000  1.60000  1.60000     34.23337 
Os 1  5.14000  7.26000 1.000000  1.70000  1.70000     39.06632 
Ir 1  5.00000  8.00000 1.000000  1.86600  1.86600     43.69259 
Pt 1  4.79000  8.86000 1.000000  1.55700  1.55700     51.08672 
Au 1  4.89400  5.17200 1.000000  1.61800  1.61800     57.25236 
Hg 1  6.27000  8.32000 1.000000  1.60000  1.60000     66.14815 
Tl 1  3.20000  5.80000 1.000000  1.53000  1.53000     43.69259 
Pb 1  3.90000  7.06000 1.000000  1.44400  1.44400     47.57360 
Bi 1  4.69000  7.48000 1.000000  1.51400  1.51400     44.87347 
Po 1  4.21000  8.42000 1.000000  1.48000  1.48000     48.83290 
At 1  4.75000  9.50000 1.000000  1.47000  1.47000     55.34395 
Rn 1  5.37000 10.74000 1.000000  2.20000  2.20000     62.65353 
Fr 1  2.00000  4.00000 1.000000  2.30000  2.30000      6.83259 
Ra 1  2.84300  4.86800 1.000000  2.20000  2.20000      8.67007 
Ac 1  2.83500  5.67000 1.000000  2.10800  2.10800     10.34466 
Th 1  3.17500  5.81000 1.000000  2.01800  2.01800     10.34466 
Pa 1  2.98500  5.81000 1.000000  1.80000  1.80000     13.07337 
 U 1  3.34100  5.70600 1.000000  1.71300  1.71300     13.33589 
Np 1  3.54900  5.43400 1.000000  1.80000  1.80000     13.38967 
Pu 1  3.24300  5.63800 1.000000  1.84000  1.84000     13.55362 
Am 1  2.98950  6.00700 1.000000  1.94200  1.94200     14.25166 
Cm 1  2.83150  6.37900 1.000000  1.90000  1.90000     14.43755 
Bk 1  3.19350  6.07100 1.000000  1.90000  1.90000     14.62836 
Cf 1  3.19700  6.20200 1.000000  1.90000  1.90000     16.19823 
Es 1  3.33300  6.17800 1.000000  1.90000  1.90000     16.85603 
Fm 1  3.40000  6.20000 1.000000  1.90000  1.90000     13.95226 
Md 1  3.47000  6.22000 1.000000  1.90000  1.90000     18.24526 
No 1  3.47500  6.35000 1.000000  1.90000  1.90000     20.24779 
Lr 0  3.50000  6.40000 1.000000  1.90000  1.90000      0.00000 
